6797,Julio Teheran,Braves,76,1.3 %,27.6 %,0.05,.106,.132,.121,.254,.015,0.3,.156, , ,0.0,-3,-11.2,.118,-35
8753,Tanner Roark,Nationals,70,1.4 %,30.0 %,0.05,.121,.136,.121,.256,.000,0.3,.189, , ,0.0,-3,-10.3,.117,-36
8173,Yovani Gallardo,Brewers,60,1.7 %,30.0 %,0.06,.111,.127,.130,.257,.019,0.4,.167, , ,0.0,-2,-8.9,.117,-39
6249,Trevor Cahill,Diamondbacks,29,3.4 %,17.2 %,0.20,.083,.120,.125,.245,.042,0.1,.105, , ,0.0,-1,-4.3,.115,-42
2520,Lance Lynn,Cardinals,69,5.8 %,49.3 %,0.12,.067,.138,.083,.222,.017,2.6,.154, , ,0.0,-3,-10.4,.114,-36
5705,Tim Lincecum,Giants,53,7.5 %,49.1 %,0.15,.068,.146,.068,.214,.000,1.3,.167, , ,0.0,-2,-8.0,.113,-34
7448,Gio Gonzalez,Nationals,52,0.0 %,50.0 %,0.00,.087,.087,.174,.261,.087,2.6,.158, , ,0.0,-2,-7.9,.113,-39
10466,Taylor Jordan,Nationals,8,0.0 %,50.0 %,0.00,.125,.125,.125,.250,.000,2.6,.250, , ,0.0,0,-1.2,.111,-40
11530,Jose Fernandez,Marlins,18,0.0 %,33.3 %,0.00,.125,.125,.125,.250,.000,2.6,.200, , ,0.0,-1,-2.7,.111,-38
15423,Andrew Heaney,Marlins,9,0.0 %,22.2 %,0.00,.125,.125,.125,.250,.000,0.1,.167, , ,0.0,0,-1.4,.111,-38
3815,Mat Latos,Reds,32,3.1 %,37.5 %,0.08,.100,.129,.100,.229,.000,2.6,.167, , ,0.0,-2,-4.9,.109,-43
3886,Gavin Floyd,Braves,18,0.0 %,66.7 %,0.00,.111,.111,.111,.222,.000,0.1,.333, , ,0.0,-1,-2.9,.099,-48
5985,Randall Delgado,Diamondbacks,11,0.0 %,36.4 %,0.00,.111,.111,.111,.222,.000,0.1,.200, , ,0.0,-1,-1.8,.099,-53
15764,Masahiro Tanaka,Yankees,9,0.0 %,55.6 %,0.00,.111,.111,.111,.222,.000,0.1,.250, , ,0.0,0,-1.5,.099,-50
8011,Eric Stults,Padres,53,1.9 %,34.0 %,0.06,.083,.102,.104,.206,.021,0.8,.133, , ,0.0,-3,-8.7,.095,-47
13781,Alex Wood,Braves,48,4.2 %,58.3 %,0.07,.073,.116,.073,.189,.000,0.8,.231, , ,0.0,-3,-7.9,.094,-51
11137,Mike Bolsinger,Diamondbacks,20,0.0 %,35.0 %,0.00,.105,.105,.105,.211,.000,2.6,.167, , ,0.0,-1,-3.3,.094,-57
10310,Zack Wheeler,Mets,63,1.6 %,38.1 %,0.04,.080,.098,.100,.198,.020,0.8,.154, , ,0.0,-4,-10.6,.091,-49
9132,Nathan Eovaldi,Marlins,64,1.6 %,56.3 %,0.03,.089,.105,.089,.195,.000,0.6,.250, , ,0.0,-4,-10.8,.090,-53
4338,Tyler Chatwood,Rockies,10,0.0 %,50.0 %,0.00,.100,.100,.100,.200,.000,0.1,.200, , ,0.0,-1,-1.7,.089,-72
9425,Doug Fister,Nationals,62,1.6 %,33.9 %,0.05,.077,.094,.096,.190,.019,2.6,.129, , ,0.0,-4,-10.6,.088,-57
6435,Vance Worley,Pirates,38,2.6 %,44.7 %,0.06,.063,.091,.094,.185,.031,1.6,.133, , ,0.0,-2,-6.5,.087,-53
9674,Vidal Nuno,- - -,25,0.0 %,32.0 %,0.00,.056,.105,.056,.161,.000,2.6,.100, , ,0.0,-2,-4.3,.085,-63
1451,Aaron Harang,Braves,71,1.4 %,40.8 %,0.03,.082,.097,.082,.179,.000,1.6,.156, , ,0.0,-5,-12.4,.083,-59
13287,Jesse Hahn,Padres,24,0.0 %,50.0 %,0.00,.091,.091,.091,.182,.000,2.6,.200, , ,0.0,-2,-4.2,.081,-57
7738,Wily Peralta,Brewers,68,2.9 %,35.3 %,0.08,.053,.083,.088,.171,.035,2.6,.088, , ,0.0,-5,-12.0,.081,-64
13046,Tsuyoshi Wada,Cubs,24,4.2 %,41.7 %,0.10,.050,.095,.050,.145,.000,0.1,.100, , ,0.0,-2,-4.3,.075,-64
3340,Matt Garza,Brewers,57,1.8 %,36.8 %,0.05,.061,.080,.082,.162,.020,2.6,.107, , ,0.0,-4,-10.3,.075,-68
3273,Roberto Hernandez,- - -,58,0.0 %,41.4 %,0.00,.082,.082,.082,.163,.000,1.1,.160, , ,0.0,-4,-10.6,.073,-65
7731,Juan Nicasio,Rockies,27,0.0 %,48.1 %,0.00,.083,.080,.083,.163,.000,0.1,.167, , ,0.0,-2,-4.9,.071,-84
921,Tim Hudson,Giants,62,3.2 %,32.3 %,0.10,.038,.089,.038,.127,.000,0.1,.061, , ,0.0,-5,-11.4,.069,-63
3990,Edinson Volquez,Pirates,64,4.7 %,42.2 %,0.11,.038,.089,.038,.127,.000,2.6,.077, , ,0.0,-5,-11.8,.069,-66
6570,Tom Koehler,Marlins,59,1.7 %,45.8 %,0.04,.060,.078,.060,.138,.000,0.1,.130, , ,0.0,-5,-11.0,.066,-69
4020,Yusmeiro Petit,Giants,27,3.7 %,48.1 %,0.08,.040,.077,.040,.117,.000,2.6,.083, , ,0.0,-2,-5.2,.061,-69
4676,Charlie Morton,Pirates,49,2.0 %,42.9 %,0.05,.050,.073,.050,.123,.000,1.6,.105, , ,0.0,-4,-9.4,.060,-71
7396,Dillon Gee,Mets,43,4.7 %,39.5 %,0.12,.026,.075,.026,.101,.000,1.6,.048, , ,0.0,-4,-8.4,.057,-73
9756,David Hale,Braves,19,0.0 %,42.1 %,0.00,.059,.056,.059,.114,.000,2.6,.100, , ,0.0,-2,-3.8,.050,-82
7754,Mike Fiers,Brewers,26,0.0 %,42.3 %,0.00,.053,.053,.053,.105,.000,0.1,.125, , ,0.0,-2,-5.2,.047,-87
10925,Christian Bergman,Rockies,20,0.0 %,30.0 %,0.00,.053,.053,.053,.105,.000,0.1,.077, , ,0.0,-2,-4.0,.047,-100
6895,Chase Anderson,Diamondbacks,41,0.0 %,34.1 %,0.00,.029,.057,.029,.087,.000,0.1,.050, , ,0.0,-4,-8.3,.046,-89
375,Bartolo Colon,Mets,69,0.0 %,47.8 %,0.00,.032,.032,.048,.081,.016,2.6,.069, , ,0.0,-7,-14.5,.035,-88
9111,Brad Hand,Marlins,31,0.0 %,22.6 %,0.00,.037,.037,.037,.074,.000,0.1,.050, , ,0.0,-3,-6.6,.033,-92
14078,Michael Wacha,Cardinals,32,0.0 %,56.3 %,0.00,.034,.034,.034,.069,.000,2.6,.091, , ,0.0,-3,-6.9,.031,-93
16017,Odrisamer Despaigne,Padres,28,3.6 %,35.7 %,0.10,.000,.040,.000,.040,.000,0.1,.000, , ,0.0,-3,-6.1,.028,-93
404,CC Sabathia,Yankees,2,0.0 %,0.0 %,0.00,.000,.000,.000,.000,.000,0.1,.000, , ,0.0,0,-0.5,.000,-100
715,Jamey Wright,Dodgers,6,0.0 %,50.0 %,0.00,.000,.000,.000,.000,.000,0.1,.000, , ,0.0,-1,-1.4,.000,-100
1051,Jake Peavy,- - -,24,0.0 %,58.3 %,0.00,.000,.000,.000,.000,.000,0.1,.000, , ,0.0,-3,-5.7,.000,-100
1245,R.A. Dickey,Blue Jays,9,0.0 %,22.2 %,0.00,.000,.000,.000,.000,.000,0.1,.000, , ,0.0,-1,-2.1,.000,-100
2717,Rick Porcello,Tigers,5,0.0 %,40.0 %,0.00,.000,.000,.000,.000,.000,0.1,.000, , ,0.0,-1,-1.2,.000,-100
3137,Max Scherzer,Tigers,4,0.0 %,25.0 %,0.00,.000,.000,.000,.000,.000,0.1,.000, , ,0.0,-1,-1.0,.000,-100
3184,David Price,- - -,4,0.0 %,50.0 %,0.00,.000,.000,.000,.000,.000,0.1,.000, , ,0.0,-1,-1.0,.000,-100
3220,Jean Machi,Giants,2,0.0 %,0.0 %,0.00,.000,.000,.000,.000,.000,0.1,.000, , ,0.0,0,-0.5,.000,-100
3283,Hiroki Kuroda,Yankees,3,0.0 %,0.0 %,0.00,.000,.000,.000,.000,.000,0.1,.000, , ,0.0,0,-0.7,.000,-100
3292,Hector Noesi,- - -,4,0.0 %,25.0 %,0.00,.000,.000,.000,.000,.000,0.1,.000, , ,0.0,-1,-1.0,.000,-100
3542,Danny Duffy,Royals,7,0.0 %,42.9 %,0.00,.000,.000,.000,.000,.000,0.1,.000, , ,0.0,-1,-1.7,.000,-100
3547,Carlos Frias,Dodgers,7,0.0 %,57.1 %,0.00,.000,.000,.000,.000,.000,0.1,.000, , ,0.0,-1,-1.7,.000,-100
3677,Logan Ondrusek,Reds,3,0.0 %,100.0 %,0.00,.000,.000,.000,.000,.000,0.1,.000, , ,0.0,0,-0.7,.000,-100
3731,Brandon League,Dodgers,2,0.0 %,50.0 %,0.00,.000,.000,.000,.000,.000,0.1,.000, , ,0.0,0,-0.5,.000,-100
3830,Ricky Nolasco,Twins,2,0.0 %,100.0 %,0.00,.000,.000,.000,.000,.000,0.1,.000, , ,0.0,0,-0.5,.000,-100
